fa_num, fa_me_id, fa_q, fa_a
11,smegadmin,컨벡션 오븐 사용설명서 내 G모양의 고리는 무엇인가요?,G 자 모양 쇠붙이 -> [ OVEN DOOR HINGE HOOK ] 라고 하며 오븐 도어 분리시에 사용하는 것으로 보관해두셨다가 추후 필요시 이용하시면 됩니다.
12,smegadmin,커피그라인더 분쇄가 안되는데 어떻게 하나요?,"커피 그라인더의 분쇄기를 분리하여 내부에 원두나 커피가루등 이물질을 제거하시는 방법을 먼저 안내해드리겠습니다. <br>
1. 사용설명서 13페이지 참조 <br>
2. 원두 컨테이너를 시계 반대 방향으로 돌려 제거합니다. <br>
3. 내부 핸들을 들어올리고 상단 분쇄기를 시계 반대 방향으로 돌려서 제거합니다. <br>
4. 세척 브러쉬를 이용해 끼어있는 원두 또는 커피가루등을 털어서 이물질을 제거합니다. <br>
5 "". v "" ""∧"" 표시를 맞춰 상단 분쇄기를 다시 끼우고 시계방향으로 돌려 ""v""""▲ 표시에 고정합니다. <br>
위와 같이 진행하신 후에 다시 한번 사용해주시면 되면 만약|동일할 경우는 커피 그라인더를 당사로 입고하여 점검이 필요합니다.<br>"
13,smegadmin,반자동 커피머신 투샷 추출이 적은데 어떻게 하나요?,"먼저 추출양을 테스트해보시는 방법은 먼저 홀더를 장착하지 않고 물만 추출했을시 <br>
투샷의 경우 종이컵의 1/2(100ml) 정도 나오는지 확인하시어 1/2 정도가 나올 경우는 추출은 정상적으로 되는 것이며 투샷 필터를 뜨거운 물에 담가뒀다가 칫솔같은 솔로 세척후에 건조하여 사용해주시면 됩니다. <br>
만약|종이컵에 1/2 정도가 되지 않을 경우는 추출량이 적을 경우이므로 추출량을 재설정하시면 됩니다. <br>
사용설명서 12페이지상 커피의 양 설정 방법을 참고해주시면 될 것 같습니다."
14,smegadmin,커피 그라인더 세척은 어떻게 하나요?,"커피 그라인더의 원두 컨테이너등 세척방법을 안내해드리겠습니다. <br>
1. 사용설명서 13페이지 참고 <br>
2. 원두 컨테이너|컨테이너 뚜껑|분쇄 커피용기|분쇄 커피용기 받침은 물세척이 가능하며 <br>
중성세제로 세척후 건조하여 주시면 됩니다. <br>
3. 본체는 젖은 천으로 닦아주시면 되며 세제등은 사용하지 않습니다. <br>
위와 같이 진행해주시면 됩니다.<br>"
15,smegadmin,전기포트 세척은 어떻게 하나요?,"전기포트의 수위창에 표시된 최대 수위(MAX)까지 물을 채운 후 구연산을 1~2스푼 넣고 가열합니다. <br>
1~4시간 정도 담아둔뒤에 가열한 물을 버리고 다시 물을 채워서2~3회 헹군 후 최대 수위까지 물을 채워 가열 한 후 <br>
가열된 물을 버리고 건조 시킨 후 사용해 주시면 됩니다.<br>"
16,smegadmin,전기포트 수위창에 습기가 차는데 왜 그런가요?,"전기포트 사용설명서상 18P에 ""제품 세척 및 관리 "" 에 해당 내용이 설명되어 있습니다. <br>
수위 표시창에 물방울(습기)이 차는 이유는 물이 끓는 과정에서 포트 내부에 생긴 수증기가 수위 표시창에 고이는 현상으로 아래와 같이 진행해 주시면 됩니다. <br>
1) 물을 모두 비우고 뚜껑을 열고 건조해 주세요. <br>
2) 전기포트 작동 후 뜨거운 물을 모두 비우신 후 수위 표시창 끝까지 찬물을 채운 후 전기포트가 식으면 천천히 물을 버려주세요. 단|물을 버릴 때 수위 표시창에 물방울이 튀지 않게 따라주세요. <br>
이후 건조하여 사용해주시면 됩니다."
17,smegadmin,오븐 클리닝을 직접 할 수 있나요?,"고객님께서 하실 수 있는 컨벡션 오븐 클리닝 방법을 안내해 드리겠습니다 .  <br>
1. 오븐을 180도~200도 온도로 가열합니다(뜨거우므로 장갑을 착용해주세요) <br>
2. 온도가 오른 것을 확인하고 전원을 끄고 클리너를 뿌립니다(클리너는 시중에 판매하는 오븐클리너) <br>
(클리너가 도어 앞쪽으로 흘러나오는 것을 방지합니다) <br>
3. 문을 닫고 약간의 시간이 지난 후에 매직 블록으로 상하좌우를 닦아줍니다(시중에 판매하는 매직블록) <br>
4. 듀플렉스판(내부뒷판)을 극세사 걸레로 닦아줍니다. <br>
5. 내부를 극세사 걸레로 깨끗하게 닦아줍니다. <br>
6. 오븐을 고온으로 올려 공회전을 시켜줍니다다(클리너 냄새가 없어 질때까지) <br>
7. 공회전이 끝나면 건조시켜 후 한번 닦아서 사용하시면 됩니다. <br>"
18,smegadmin,컨벡션 오븐을 빌트인 할 수 있나요?,"컨벡션 오븐은 스탠드형 제품으로 빌트인 형태로 사용이 어렵습니다. <br>
오븐의 좌|우|위|뒷 공간이 모두 최소 5~10cm 정도의 여유 공간이 있어야 하며 컨벡션 오븐 특성상 오븐 뒷쪽으로 환기가 되기 때문에 오픈된 공간에 두셔야 안정적인 사용이 가능한 점 참고바랍니다."
19,smegadmin,반죽기 헤드 높이 조절도 가능한가요?,"반죽기의 헤드 높이 조절이 필요할 수 있습니다. 반죽기 헤드를 올려 몸체와 헤드 사이에 보이는 나사를 + 드라이버(십자드라이버)을 이용하여 오른쪽으로 돌리면 내려가고 왼쪽으로 돌리면 올라가며 3~4 바퀴 이내로 돌려 휘퍼|후크가 어느 정도 내려오면 반죽기 볼 바닥면에 닿지 않도록 확인 후 작동하시면 됩니다. <br>
또한|후크|휘퍼|플랫 비터의 사이즈가 각각 다르기 때문에 후크가 아닌 다른 것으로 바꿔서 사용하실 경우 높이 조절을 다시 해주셔야 하오니 주의 부탁드립니다. <br>
만약|그 이상 나사를 돌려서 후크 등을 과도하게 내릴 경우|볼에 닿아 스크래치나 제품 고장을 일으킬 수 있으며|이로 인한 문제 발생 시 유상 a/s 진행되오니 유의하여 진행바랍니다."
20,smegadmin,핸드블렌더 다지기(초퍼) 뚜껑에 물이 들어가서 소리가 나는데 어떻게 하나요?,"핸드블렌더 초퍼(다지기)의 경우 초퍼 뚜껑에 ""물에 담그지 마시오"" (DO NOT IMMERSE IN WATER) 표기 및 사용설명서 상에 젖은 천을 이용해 닦으시도록 안내가 되어 있습니다. 초퍼 뚜껑에 물이 들어간 경우 자연 건조시켜 주시면 되며 장시간 건조후에도 동일할 경우에는 다지기 뚜껑을 별도 구매해주셔야 하는 점 양해 말씀드리겠습니다 <br>
<br>
만약 초퍼 뚜껑의 구매를 원하실 경우 제품의 full s/n 20자리 확인 후 홈페이지 내 1:1 문의로 연락 주시면 안내 받으실 수 있습니다."
21,smegadmin,냉장고 도어 손잡이 변색된 것 같아요 왜 그런가요?,스메그 코리아의 냉장고|냉동고 등과 같은 레트로 시리즈 제품군들은 홈페이지상 상품 페이지에도 안내를 드리고 있는데요 도어 손잡이나 로고는 크롬 소재의 재질로 되어 있어 계속 사용하시다 보면 시간이 지날수록 점점 회색으로 변하면서 빈티지한 멋으로 변하게 되는 것이 정상적인 과정으로 스메그 코리아 레트로 제품들의 특성이라고 할 수 있습니다. 제품의 이상은 아니며 시중에서 판매하는 크롬 광택제를 이용해보시는 것도 좋습니다.
22,smegadmin,멀티스톤 오븐 사용하는데 문이 저절로 닫히는데 왜 그런가요?,"멀티스톤 오븐은 도어가 다른 컨벡션 오븐과 달리 옆으로 열고 닫는 제품이라 좌|우측의 무게 중심이 달라 제품 특성상 그런 증상이 있을수 있으며 제품의 이상은 아닙니다. <br>
오븐의 오른쪽 앞편|뒷편 바닥의 조절 나사를 살짝 풀어 오븐의 기울기가 약간 왼쪽으로 가도록 조절을 하신다면 사용하시는데 좀 더 수월하실 수 있습니다. <br>
다만|오른쪽 나사를 너무 풀게 되면 좌,우 수평이 틀어질 수 있사오니 이 점 참고하여 진행 부탁드립니다."
23,smegadmin,인덕션 얼룩은 어떻게 지우나요?,"인덕션 사용시 냄비등에 묻어있는 물이나 이물질등이 가열되면서 생길수 있는 얼룩으로 인덕션을 계속 사용하시는데는 문제는 없습니다. <br>
인덕션 상판은 유리세정제 등을 이용해 닦아주시면 얼룩이 일부 지워질 수는 있사오니 참고 바랍니다"
24,smegadmin,냉동실 성에 제거는 어떻게 해야하나요?,"냉동실 성에 제거 방법은 냉장고 내부에 음식물을 모두 비우신 후 냉장고 바닥에 신문 또는 수건등을 깔아 놓고 냉동실 문을 여신후 전원을 끄고 냉동실 성에가 녹을 때까지 기다립니다.<br>
<br>
냉동실 성에가 모두 녹은 후에 냉장고 전원을 켜서 다시 작동시켜주시면 됩니다.<br>"
25,smegadmin,핸드블렌더 거치대 분리는 어떻게 하나요?,핸드블렌더 거치대 분리 방법은 거치대를 뒤로 뒤집어 바닥면에 보시면 네 군데 동그란 고무패킹 부분이 있습니다. 네 군데 고무패킹을 모두 벗겨내면 내부에 나사가 보이고 그 나사를 모두 풀어내면 거치대 분리가 가능합니다.
26,smegadmin,드립 커피머신 경도 설정은 어떻게 하나요?,"② 물 경도 설정[사용설명서 12~13P]<br>
1. 전원을 켭니다.<br>
2. 왼쪽 두번째버튼+오른쪽 두번째 버튼을 동시에 3초간 누르면 설정 메뉴로 들어가 SE02를 선택하면 기본 설정된 HA02(중간 경도)가 디스플레이에 표시됩니다.<br>
3. 레버를 위(+)나 아래(-)로 움직여 경도를 설정하십시오. HA01(연수)로 설정 합니다.<br>
4. 레버를 중앙에 위치시키고 (OK)를 눌러 설정을 확정합니다.<br>
5. 소리가 켜진 상태라면 기기에서 삐 소리가 나며 설정이 저장되었음을 알립니다. 형식이 2초 동안 깜빡이면 설정이 저장되었음을 뜻합니다.<br>"
27,smegadmin,드립커피머신 사용하는데 시계창에 빨간불 점등은 무엇인가요?,"드립커피머신의 시계 부위 빨간불은 석회질 제거를 요청하는 알람으로 국내에는 해당 부분이 없어 스케일 제거제도 필요하지 않습니다. <br>
(우리나라의 수돗물에는 석회질이 없음) 시계 화면의 빨간불을 끄는 방법을 안내해 드리겠습니다~ <br>
① 물때(석회질) 제거[사용설명서 19P 4.4] <br>
1)물탱크에 물을 넣습니다. <br>
2)ON/OFF 버튼(왼쪽 맨끝)과 자동시작버튼(오른쪽 맨끝) 버튼을 동시에 5초동안 누릅니다. <br>
3)5초 동안 누른후 손을 떼면 스케일 제거 기능이 작동하는 동안 빨간불이 깜빡거리고 모두 끝나면 깜빡임이 사라집니다. <br>"
28,smegadmin,오븐도어 열면 작동이 되나요?,"디지털 오븐 43XE|아날로그 오븐 43K|43GHK 모델은 작동중 도어를 열어도 작동이 가능합니다. <br>
디지털 오븐중 스팀 기능이 있는 ALFA43XEH는 도어를 열면 작동이 멈추고 삐삐 알람이 울립니다. <br>
<br>
아날로그 오븐중 ALFA45MFPGNK(멀티스톤오븐)은 도어를 열면 작동이 멈추고 삐삐 알람은 울리지 않습니다."
29,smegadmin,컨벡션 컨트롤러는 추가 설치 가능한가요?,"컨트롤러는 오븐 배송 설치시뿐 만 아니라 배송 설치 이후에도 추가 장착 가능합니다. <br>
컨트롤러를 오븐과 함께 구매 시 13만 원|설치 이후 멤버십 기간 이내 (설치 후 3년 이내) 설치 시 18만 원|그 이후는 판매가 25만 원의 비용이 발생합니다. <br>
또한|설치는 오븐 하단 버튼 조작부 판넬에 타공(구멍을 뚫어서)하여 컨트롤러 다이얼을 장착하는 방식이며 <br>
시간은 약 15분~30분 정도 소요됩니다."
30,smegadmin,오븐 전원 콘센트 어떤걸 사용해야하나요?,"60L용 4단의 컨벡션 오븐은 소비전력이 3KW |단상으로 벽면의 단독 콘센트 사용을 권장드립니다. <br>
다만|설치 환경이 멀티탭을 이용하셔야 하는 경우는 16A 220V로 사용하시면 되며 콘센트에 오븐 코드 1개만 꽂아서 사용하셔야 합니다."
31,smegadmin,컨벡션 오븐 구매 시 트레이도 포함되어 있나요?,"컨벡션 오븐 구매 시 기본 구성품으로 트레이가 제공됩니다. <br>
단|오븐별로 제공되는 트레이의 종류 및 수량은 상이합니다. <br>
1. 43K|43XE|43XEH 구매 시 기본 트레이 4장 제공|<br>
2. 43GHK(-1) 구매 시 기본 트레이 2장|그릴 트레이 2장 제공  <br>
3. 45MFPGNK(멀티 스톤 오븐) 구매 시 스톤 팬 1개|기본 트레이 3장이 제공됩니다. <br>"
32,smegadmin,빌트인 제품 설치 방법은 어떻게 되나요?,"빌트인 오븐의 경우 빌트인 타공은 고객님께서 직접 싱크대 업체 또는 주방업체로 의뢰해주셔야 하며 홈페이지상 빌트인 사이즈 참고 해주시거나 고객센터로 문의주시면 빌트인 도면을 고객님 이메일 주소로 개별 발송해드립니다. <br>
인덕션의 경우 빌트인시 싱크대 상판이 인조대리석일 경우에 한해 부분타공|사면 타공이 무료로 가능합니다. <br>
천연대리석|스텐|원목등은 당사에서 타공이 불가하여 고객님께서 직접 주방업체에 의뢰하여 타공 해주셔야 합니다. <br>
타공을 메꿔야 하는 작업도 당사에서 불가하며 고객님께서 직접 개별 업체 의뢰해주셔야 합니다. <br>
홈페이지상 빌트인 사이즈 참고 해주시거나 고객센터로 문의주시면 빌트인 도면을 고객님 이메일 주소로 개별 발송해드립니다. <br>
식기세척기의 경우 빌트인 타공은 고객님께서 직접 싱크대 업체 또는 주방업체로 의뢰해주셔야 하며 홈페이지상 빌트인 사이즈 참고 해주시거나 홈페이지 내 1:1 문의로 문의주시면 빌트인 도면을 고객님 이메일 주소로 개별 발송해드립니다. <br>"
33,smegadmin,반죽기 유리볼은 반죽기 모두 다 사용할 수 있나요?,"반죽기(스탠드믹서)는 SMF01 모델과 SMF02 모델 두 종류이며 반죽기 유리볼은 SMF02 모델에만 전용으로 사용 할 수 있습니다. <br>
SMF01 모델은 유리볼을 사용할 수 없는 모델이며 SMF01|SMF02는 반죽기 볼(스텐)도 다른 점 참고 바랍니다. <br>"
34,smegadmin,냉장고 램프가 안들어오는데 어떻게 하나요?,"냉장고 램프가 들어오지 않을 경우 램프는 소모성 부품으로 제품 수령 후 1년 이내 1회에 한 하여 방문하여 무상으로 교체 가능하며 <br>
수령일로부터 1년 이후인 경우는 개별 구매해주셔야 합니다,(수령일 1년 이내 방문일경우 램프 정상 작동시 무상 교체 불가) <br>
유상 구매의 경우 직접 교체는 램프비+택배비가 발생되며 출장 방문시 출장비 +램프비를 부담하셔야 합니다. (냉장고 모델에 따라 출장 방문만 가능한 경우도 있음) <br>
다만|냉장고의 S/N 확인 시 스메그코리아 구매 내역 및 출고 정보가 확인될 경우에만 가능하며 조회되지 않을 경우 서비스가 불가합니다. <br>
자세한 문의는 냉장고 S/N 확인 후 홈페이지 내 1:1 문의로 연락주시면 안내 받으실 수 있습니다."
35,smegadmin,오븐램프가 안들어오는데 어떻게 하나요?,"오븐 램프가 들어오지 않을 경우 램프는 소모성 부품으로 제품 수령 후 1년 이내 1회에 한 하여 방문하여 무상으로 교체 가능하며 <br>
수령일로부터 1년 이후인 경우는 개별 구매해주셔야 합니다,(수령일 1년 이내 방문일경우 램프 정상 작동시 무상 교체 불가) <br>
유상 구매의 경우 직접 교체는 램프비+택배비가 발생되며 출장 방문시 출장비 +램프비를 부담하셔야 합니다. <br>
다만|오븐의 S/N 확인시 스메그코리아 구매 내역 및 출고 정보가 확인될 경우에만 가능하며 조회되지 않을 경우 서비스가 불가합니다. <br>
자세한 문의는 오븐 S/N 확인 후 홈페이지 내 1:1 문의로 문의주시면 안내 받으실 수 있습니다."
36,smegadmin,스팀 기능은 어떻게 사용하나요?,"오븐 뒷편 왼쪽 하단에 튀어나온 부위에 빨대처럼 생긴 스팀 호스를 꽂아 주신후 컵이나 통에 물을 담아 호스를 담궈주시면 됩니다. <br>
아날로그 오븐은 스팀 다이얼을 2~3초 이내로 한번씩 돌리면 스팀 분사가 됩니다. (단|오븐 내부 온도 170도 이상인 경우 작동됨) <br>
디지털 오븐은 수동분사는 start 버튼을 3초이상 길게 누르시면 되고 자동 분사는 설정시 H1|H2|H3 으로 원하시는 분사시간으로 <br>
설정하시면 됩니다. (내부 150도 이상인 경우 작동됨)H0-자동 분사없음(수동은 가능) H1-8분단위|H2-5분단위|H1-2분단위"
37,smegadmin,인덕션 사용할 때 윙~징~ 거리는 소리는 왜 나나요?,"인덕션이 정상 작동 중일때 유도가열로 윙소리나 지잉 소리는 발생할 수 있습니다. <br>
이 소리는 냄비의 소재나 바닥 모양에 따라 발생하는데 바닥면이 균일하지 않은 경우|또는 합금 소재의 냄비일 경우,냄비나 후라이팬의 크기|<br>
조리하는 양에 따라 소음 크기나 정도가 다르게 발생할 수 있습니다.<br>
그 밖에 유도가열 조리영역에는 내부 냉각 시스템이 장착되어 있어 제품의 온도를 제어하는데 조리 중 또는 사용 후에 제품상 온도가<br>
올라가면 내부 온도를 낮추기 위해 냉각팬이 작동하여 소음이 갑자기 생기거나 더 크게 들릴 수 있습니다."
38,smegadmin,컨벡션 오븐 내부 재질은 무엇인가요?,"스메그 컨벡션 오븐의 내부는 특수한 에나멜 소재를 사용하고 있습니다.<br>
오븐에 사용된 에나멜은 다른 고급 가전제품들의 내부에 사용되는 에나멜 유리 코팅으로 이루어져 있으며<br>
스테인리스 소재는 상업용이나 대형 오븐에 많이 사용됩니다.<br>
가정에서 사용하는 경우에는 세척의 편리성이 중요하기 때문에 다소 원가가 높더라도 에나멜 유리 코팅을 사용합니다.<br>
때문에 스메그 컨벡션 오븐 내부의 에나멜 소재는 수건이나 행주를 이용해 간단하게 세척이 가능합니다.<br>
또한 친환경적인 성분으로 제작되어 고열에서도 유해성분이 나오지 않으며 고품질의 에나멜 코팅을 사용하기 때문에<br>
안전성과 내구성은 물론 조리 시 열 보존력이 뛰어납니다.<br>
에나멜 소재로 인해 오븐을 사용하는데 있어 세척이 편리하다는 것과 스크래치가 잘 생기지 않는 다는 것이 장점으로 꼽히며<br>
실제로 고가의 주물냄비에서도 스메그 컨벡션 오븐 내부에 사용된 에나멜 코팅과 같은 고품질의 에나멜 코팅을 사용하고 있습니다."
39,smegadmin,스메그 제품은 어디서 제작이 되나요?,"오븐|냉장고와 같은 대형가전 제품은 이태리 현지에서 제작|검수한 완제품이 패킹된 상태로 국내로 입고되게 되며 <br>
일반 소형가전의 경우는 SMEG의 OEM 방식으로 Assembled in China|Designed by SMEG ITALY 제품입니다.<br>
그 외 오븐랙/액세서리/기프트 제품은 국내에서 제작한 제품으로 판매되고 있습니다.(상품페이지 참고요망)"
40,smegadmin,오븐의 고무패킹은 4면 모서리에만 고정되어 있는게 맞나요?,"스메그 컨벡션 오븐의 도어를 열고 앞의 네 면을 보면 고무패킹이 부착되어 있는 것을 확인하실 수 있습니다.<br>
그런데 스메그 컨벡션 오븐의 네 면에 부착되어 있는 고무패킹은 네 면에 부착된 것이 아닌<br>
네 모서리에만 고정이 가능하도록 설계되었습니다.<br>
이것은 오븐 가동 시 높은 온도에 도달하게 되면 고열로 인한 고무패킹에 변형이 올 수 있는 부분을 방지하기 위함입니다.<br>
고무라는 소재는 고열에 의해 수축|팽창|변형될 수 있으며 팽창과 이완을 반복하게 되는데요.<br>
오븐의 네 면에 고무패킹을 틈새없이 전체에 부착시키는 경우에 고무패킹의 변형으로 틈새가 벌어져 열기가 빠지는 현상이 발생할 수 있으며<br>
이러한 증상을 미연에 방지하기 위해 과학적인 원리를 이용해 제작된 것이랍니다.<br>
또한 현재 네 모서리만 고정된 상태에서 오븐 도어를 닫았을 때 열기가 전혀 새어 나가지 않고<br>
충분히 밀착되는 역할을 해주고 있으니 스메그 컨벡션 오븐을 사용 중인 고객님들께서는 안심하고 사용하셔도 됩니다."
41,smegadmin,오븐 작동 시 자꾸 붕~ 거리는 소리가 나는데 왜그런가요?,"디지털 스팀 컨벡션(ALFA43XEH)의 경우 START 버튼이 스팀을 수동으로 작동 시키는 기능도 하는데 예열하고 나면 온도가 다 올라가 있기 때문에 자동으로 스타트 버튼을 길게 누르면 작동을 할때 나는 소리가 붕~하는 큰 굉음같은 소리가 날 수 있습니다. 이는 제품의 이상이 아니며 AS가 필요한 증상은 아닙니다. <br>
<br>
다만|그 소리를 ON/OFF 할 수 기능은 포함되어 있지 않은 점 참고바랍니다. ( 스팀설정메뉴를 H0으로 설정해도 동일함)"
42,smegadmin,온도조절 전기포트 알람소리 안나는데 어떻게 켜나요?,"온도조절 전기포트라면 알람과 같은 소리는 보온버튼으로 설정하게 됩니다. 보온버튼을 5초~10초가량 눌렀다 떼신후 사용해보시면 됩니다.<br>
<br>
만약|설정을 여러 번 다시 해보셨는데도 동일하게 소리가 나지 않을 경우는 입고 AS가 필요할 수 있습니다."
43,smegadmin,"냉장고에서 '똑똑!','딱딱!' 소리가 들리는 건 무엇인가요?","냉매가스를 압축해 주는 압축기와 팬이 작동하면서 나타날 수 소리로 냉장고 내부의 온도 변화에 따라서 똑똑 거리는 소리가 들릴 수 있습니다.<br>
똑똑 거리는 소리는 냉장고의 냉각 작용으로 냉장고 내부의 각종 부품(냉장고 캐비닛|각종 선반)이 수축하고 팽창하면서<br>
들리는 소리이며 냉장고의 압축기가 정지할 때 물 흐르는 소리가 날 수 있으며 정상적인 소음입니다.<br>
냉매는 충전 방식이 아니므로 냉매 부족에 따른 충전이 필요하지는 않습니다."
